Comment,Designator,Footprint,LCSC,Quantity
10u,"C16,C17,C18",C_1206_3216Metric,C13585,3
16MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738,1
120R,FB1,L_0603_1608Metric,C14709,1
AO3401A,"Q2,Q4",SOT-23,C15127,2
10n,C6,C_0402_1005Metric,C15195,1
100n,"C1,C2,C3,C4,C9",C_0402_1005Metric,C1525,5
330n,C14,C_0805_2012Metric,C1740,1
PHB2.0-02-16PWZ,U5,CONN-TH_16P-P2.00_S16B-PADSS-1,C19077320,1
10u,C5,C_0603_1608Metric,C19702,1
MMBT3904,"Q1,Q3",SOT-23,C20526,2
100k,"R15,R9",R_0402_1005Metric,C25741,2
10k,"R1,R10,R12,R14,R2,R3,R4,R7",R_0402_1005Metric,C25744,8
2.2k,"R11,R13,R6,R8",R_0402_1005Metric,C25879,4
4.7k,"R16,R17,R5",R_0402_1005Metric,C25900,3
100n,C15,C_0805_2012Metric,C28233,1
10p,"C10,C11",C_0402_1005Metric,C32949,2
22u,"C12,C13",C_0805_2012Metric,C45783,2
1u,"C7,C8",C_0402_1005Metric,C52923,2
LM78M05_TO252,U4,TO-252-2,C58069,1
AMS1117-3.3,U2,SOT-223-3_TabPin2,C6186,1
"TJA1040T/CM,118",U3,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,C6951,1
TS-1088-AR02016,SW2,SW-SMD_L3.9-W3.0-P4.45,C720477,1
SMBJ15CA_C78809,D1,SMB_L4.6-W3.6-LS5.3-BI,C78809,1
STM32F103C8T6,U1,LQFP-48_7x7mm_P0.5mm,C8734,1
Conn_ARM_JTAG_SWD_10,J1,PinHeader_2x05_P1.27mm_Vertical_SMD,,1
SW_SPDT,SW1,SW_SPDT_PCM12,,1
MCP4018,U6,SOT-363_SC-70-6,,1
Polyfuse,F1,Fuse_1812_4532Metric,,1
