Comment,Designator,Footprint,LCSC,Quantity
PHB2.0-02-16PWZ,U5,CONN-TH_16P-P2.00_S16B-PADSS-1,C19077320,1
4.7k,"R16,R17",R_0402_1005Metric,C25900,2
"TJA1040T/CM,118",U3,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,C6951,1
TS-1088-AR02016,SW2,SW-SMD_L3.9-W3.0-P4.45,C720477,1
SMBJ15CA_C78809,D1,SMB_L4.6-W3.6-LS5.3-BI,C78809,1
10u,C18,C_1206_3216Metric,,1
22u,C12,C_0805_2012Metric,,1
2.2k,R6,R_0402_1005Metric,,1
STM32F103C8T6,U1,LQFP-48_7x7mm_P0.5mm,,1
10p,C11,C_0402_1005Metric,,1
AO3401A,Q2,SOT-23,,1
MMBT3904,Q1,SOT-23,,1
100n,C9,C_0402_1005Metric,,1
10k,R14,R_0402_1005Metric,,1
MCP4018,U6,SOT-363_SC-70-6,,1
10n,C6,C_0402_1005Metric,,1
10k,R10,R_0402_1005Metric,,1
22u,C13,C_0805_2012Metric,,1
10k,R1,R_0402_1005Metric,,1
10u,C16,C_1206_3216Metric,,1
100n,C2,C_0402_1005Metric,,1
10k,R4,R_0402_1005Metric,,1
10u,C17,C_1206_3216Metric,,1
Polyfuse,F1,Fuse_1812_4532Metric,,1
SW_SPDT,SW1,SW_SPDT_PCM12,,1
100n,C3,C_0402_1005Metric,,1
100n,C15,C_0805_2012Metric,,1
10k,R7,R_0402_1005Metric,,1
100n,C4,C_0402_1005Metric,,1
4.7k,R5,R_0402_1005Metric,,1
1u,C8,C_0402_1005Metric,,1
10k,R2,R_0402_1005Metric,,1
100n,C1,C_0402_1005Metric,,1
2.2k,R8,R_0402_1005Metric,,1
Conn_ARM_JTAG_SWD_10,J1,PinHeader_2x05_P1.27mm_Vertical_SMD,,1
10u,C5,C_0603_1608Metric,,1
2.2k,R11,R_0402_1005Metric,,1
10p,C10,C_0402_1005Metric,,1
AMS1117-3.3,U2,SOT-223-3_TabPin2,,1
10k,R12,R_0402_1005Metric,,1
AO3401A,Q4,SOT-23,,1
16MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,,1
MMBT3904,Q3,SOT-23,,1
330n,C14,C_0805_2012Metric,,1
100k,R9,R_0402_1005Metric,,1
LM78M05_TO252,U4,TO-252-2,,1
120R,FB1,L_0603_1608Metric,,1
1u,C7,C_0402_1005Metric,,1
100k,R15,R_0402_1005Metric,,1
10k,R3,R_0402_1005Metric,,1
2.2k,R13,R_0402_1005Metric,,1
